"3565174":{'stabilizer.thrust': 12506.0, 'motor.m1': 41609, 'motor.m2': 35645, 'motor.m3': 37713, 'motor.m4': 41897}
"3565194":{'stabilizer.thrust': 53974.0, 'motor.m1': 41218, 'motor.m2': 38210, 'motor.m3': 38016, 'motor.m4': 39044}
"3565214":{'stabilizer.thrust': 42717.0, 'motor.m1': 41718, 'motor.m2': 39562, 'motor.m3': 37554, 'motor.m4': 37478}
"3565234":{'stabilizer.thrust': 20957.0, 'motor.m1': 38313, 'motor.m2': 38949, 'motor.m3': 40727, 'motor.m4': 37983}
"3565254":{'stabilizer.thrust': 31855.0, 'motor.m1': 37936, 'motor.m2': 36932, 'motor.m3': 40266, 'motor.m4': 39986}
"3565274":{'stabilizer.thrust': 41336.0, 'motor.m1': 41596, 'motor.m2': 32792, 'motor.m3': 35284, 'motor.m4': 42524}
"3565294":{'stabilizer.thrust': 52614.0, 'motor.m1': 42525, 'motor.m2': 32645, 'motor.m3': 33725, 'motor.m4': 41429}
"3565314":{'stabilizer.thrust': 55383.0, 'motor.m1': 37823, 'motor.m2': 36439, 'motor.m3': 38791, 'motor.m4': 38339}
"3565334":{'stabilizer.thrust': 5144.0, 'motor.m1': 36244, 'motor.m2': 38572, 'motor.m3': 40634, 'motor.m4': 37206}
"3565354":{'stabilizer.thrust': 45750.0, 'motor.m1': 38611, 'motor.m2': 38451, 'motor.m3': 40189, 'motor.m4': 39109}
"3565374":{'stabilizer.thrust': 63340.0, 'motor.m1': 38487, 'motor.m2': 38895, 'motor.m3': 42919, 'motor.m4': 41455}
"3565394":{'stabilizer.thrust': 10850.0, 'motor.m1': 39208, 'motor.m2': 39134, 'motor.m3': 42478, 'motor.m4': 41140}
"3565414":{'stabilizer.thrust': 58185.0, 'motor.m1': 42647, 'motor.m2': 38393, 'motor.m3': 38771, 'motor.m4': 40841}
"3565434":{'stabilizer.thrust': 36044.0, 'motor.m1': 44648, 'motor.m2': 37038, 'motor.m3': 36250, 'motor.m4': 41344}
"3565454":{'stabilizer.thrust': 30185.0, 'motor.m1': 39213, 'motor.m2': 37579, 'motor.m3': 41041, 'motor.m4': 40331}
"3565474":{'stabilizer.thrust': 24394.0, 'motor.m1': 35051, 'motor.m2': 39651, 'motor.m3': 44199, 'motor.m4': 38151}
"3565494":{'stabilizer.thrust': 12450.0, 'motor.m1': 36350, 'motor.m2': 37370, 'motor.m3': 42132, 'motor.m4': 38964}
"3565514":{'stabilizer.thrust': 34617.0, 'motor.m1': 39041, 'motor.m2': 38081, 'motor.m3': 39347, 'motor.m4': 38695}
"3565534":{'stabilizer.thrust': 41860.0, 'motor.m1': 43160, 'motor.m2': 40658, 'motor.m3': 37030, 'motor.m4': 37500}
"3565554":{'stabilizer.thrust': 34673.0, 'motor.m1': 43815, 'motor.m2': 41105, 'motor.m3': 37415, 'motor.m4': 37949}
"3565574":{'stabilizer.thrust': 58302.0, 'motor.m1': 42671, 'motor.m2': 38951, 'motor.m3': 39817, 'motor.m4': 41261}
"3565594":{'stabilizer.thrust': 7530.0, 'motor.m1': 42400, 'motor.m2': 37682, 'motor.m3': 40932, 'motor.m4': 43966}
"3565614":{'stabilizer.thrust': 32620.0, 'motor.m1': 44861, 'motor.m2': 37967, 'motor.m3': 39559, 'motor.m4': 44009}
"3565634":{'stabilizer.thrust': 46982.0, 'motor.m1': 42404, 'motor.m2': 43222, 'motor.m3': 42658, 'motor.m4': 39360}
"3565654":{'stabilizer.thrust': 24750.0, 'motor.m1': 42351, 'motor.m2': 42285, 'motor.m3': 41909, 'motor.m4': 40751}
"3565674":{'stabilizer.thrust': 55019.0, 'motor.m1': 45641, 'motor.m2': 37181, 'motor.m3': 36697, 'motor.m4': 44153}
"3565694":{'stabilizer.thrust': 44403.0, 'motor.m1': 43207, 'motor.m2': 40369, 'motor.m3': 40999, 'motor.m4': 42005}
"3565714":{'stabilizer.thrust': 27759.0, 'motor.m1': 41860, 'motor.m2': 41446, 'motor.m3': 41922, 'motor.m4': 41092}
"3565734":{'stabilizer.thrust': 44913.0, 'motor.m1': 41314, 'motor.m2': 40102, 'motor.m3': 42276, 'motor.m4': 41872}
"3565754":{'stabilizer.thrust': 16787.0, 'motor.m1': 37099, 'motor.m2': 42663, 'motor.m3': 46813, 'motor.m4': 39573}
"3565774":{'stabilizer.thrust': 56495.0, 'motor.m1': 39969, 'motor.m2': 41685, 'motor.m3': 43427, 'motor.m4': 39639}
"3565794":{'stabilizer.thrust': 41949.0, 'motor.m1': 42655, 'motor.m2': 38611, 'motor.m3': 39959, 'motor.m4': 42243}
"3565814":{'stabilizer.thrust': 25753.0, 'motor.m1': 36292, 'motor.m2': 41904, 'motor.m3': 45854, 'motor.m4': 39166}
"3565834":{'stabilizer.thrust': 18316.0, 'motor.m1': 41293, 'motor.m2': 36077, 'motor.m3': 39439, 'motor.m4': 42195}
"3565854":{'stabilizer.thrust': 31211.0, 'motor.m1': 39048, 'motor.m2': 37162, 'motor.m3': 39908, 'motor.m4': 40014}
"3565874":{'stabilizer.thrust': 38021.0, 'motor.m1': 34184, 'motor.m2': 38886, 'motor.m3': 43552, 'motor.m4': 37570}
"3565894":{'stabilizer.thrust': 49333.0, 'motor.m1': 37391, 'motor.m2': 36023, 'motor.m3': 39059, 'motor.m4': 37799}
"3565914":{'stabilizer.thrust': 6376.0, 'motor.m1': 38497, 'motor.m2': 35325, 'motor.m3': 37951, 'motor.m4': 37827}
"3565934":{'stabilizer.thrust': 33719.0, 'motor.m1': 37192, 'motor.m2': 37484, 'motor.m3': 38632, 'motor.m4': 35696}
"3565954":{'stabilizer.thrust': 23437.0, 'motor.m1': 35180, 'motor.m2': 39118, 'motor.m3': 40480, 'motor.m4': 34066}
"3565974":{'stabilizer.thrust': 32984.0, 'motor.m1': 30237, 'motor.m2': 39777, 'motor.m3': 46025, 'motor.m4': 32953}
"3565994":{'stabilizer.thrust': 3660.0, 'motor.m1': 37092, 'motor.m2': 38202, 'motor.m3': 39806, 'motor.m4': 35484}
